Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
1024th,azzykyoto,1h 32m 48s,1h 32m 45s,1.16.1,Easy,F3,Vanilla,2 weeks ago
1025th,Burnflare225,1h 34m 29s 044ms,1h 33m 01s 080ms,1.16.1,Easy,F3,Vanilla,2 months ago
1026th,Int5,1h 33m 12s 034ms,1h 33m 12s 034ms,1.16.1,Easy,F3,Vanilla,1 week ago
1027th,Maceo,1h 33m 13s 617ms,1h 33m 13s 617ms,1.16.1,Normal,F3,Vanilla,3 weeks ago
1028th,WaterNinja,1h 33m 42s,1h 33m 16s,1.16.1,Easy,F3,Vanilla,1 month ago
1029th,Izckk_,1h 33m 37s,1h 33m 37s,1.16.1,Normal,F3,Optifine,5 months ago
1030th,patrck,1h 33m 39s,1h 33m 39s,1.16.1,Easy,F3,JellySquid,3 months ago
1031st,bn3bwld3,1h 34m 11s 002ms,1h 33m 47s 900ms,1.16.3,Easy,F3,Vanilla,3 months ago
1032nd,Jegovila,1h 33m 55s 078ms,1h 33m 55s 078ms,1.16.1,Easy,F3,Vanilla,2 months ago
1033rd,Default_Nano,1h 34m 57s 047ms,1h 33m 57s 065ms,1.16.1,Normal,F3,Vanilla,1 month ago
1034th,GasaiSenpai,1h 34m 15s 016ms,1h 34m 15s 016ms,1.16.1,Normal,F3,Vanilla,5 months ago
1035th,Smugy,1h 34m 54s 015ms,1h 34m 19s 050ms,1.16.1,Easy,F3,Vanilla,2 months ago
1036th,Anzushi,1h 34m 22s,1h 34m 22s,1.16.1,Normal,F3,Optifine,4 months ago
1037th,ezekiel,1h 35m 13s 478ms,1h 34m 26s 900ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
1038th,Truman,1h 35m 14s 034ms,1h 34m 33s 065ms,1.16.1,Easy,F3,Vanilla,2 months ago
1039th,Pyroblast,1h 34m 41s,1h 34m 41s,1.16.4,Normal,F3,Vanilla,1 month ago
1040th,Eggbrutiss,1h 35m 06s,1h 34m 48s,1.16.1,Easy,F3,Vanilla,5 months ago
1041st,Optical_,1h 35m 14s 098ms,1h 35m 07s 090ms,1.16.1,Easy,F3,JellySquid,2 months ago
1042nd,DxddyHxmmy,1h 35m 09s 085ms,1h 35m 09s 085ms,1.16.1,Easy,No F3,Vanilla,4 months ago
1043rd,Vangsguard,1h 35m 23s 050ms,1h 35m 23s 050ms,1.16.4,Easy,,JellySquid,2 weeks ago
1044th,noahsimcox,1h 37m 25s 009ms,1h 36m 42s 070ms,1.16.1,Easy,F3,Vanilla,2 months ago
1045th,kattah,1h 36m 58s 091ms,1h 36m 57s 061ms,1.16.1,Hard,F3,Vanilla,5 months ago
1046th,BigPapaWesWES,1h 37m 33s,1h 37m 33s,1.16.1,Normal,F3,Vanilla,1 month ago
1047th,JoinedPoppy,1h 38m 05s,1h 38m 05s,1.16.1,Normal,F3,Optifine,4 months ago
1048th,Stuckrath,1h 38m 34s,1h 38m 34s,1.16.1,Normal,F3,JellySquid,1 month ago
1049th,ToyHugs,1h 38m 42s 510ms,1h 38m 42s 510ms,1.16.4,Normal,F3,Vanilla,1 month ago
1050th,Hicore,1h 38m 58s 017ms,1h 38m 58s 017ms,1.16.2,Easy,F3,Vanilla,4 months ago
1051st,BurntBowser,1h 39m 07s 050ms,1h 39m 03s 050ms,1.16.3,Hardcore,F3,Vanilla,2 months ago
1052nd,emzberri,1h 39m 40s,1h 39m 40s,1.16.1,Easy,No F3,Vanilla,1 month ago
1053rd,loachbot,1h 39m 45s,1h 39m 45s,1.16.1,Normal,F3,Vanilla,5 months ago
1054th,Phixel,1h 40m 29s,1h 40m 29s,1.16.1,Normal,F3,Vanilla,5 months ago
1055th,MetaDestroyer,1h 40m 41s 039ms,1h 40m 38s 077ms,1.16.1,Easy,F3,Vanilla,6 months ago
1056th,elenyaR,1h 40m 48s 250ms,1h 40m 48s,1.16.1,Normal,F3,Vanilla,6 months ago
1057th,manjingero,1h 40m 49s 450ms,1h 40m 49s 450ms,1.16.1,Normal,F3,Vanilla,4 months ago
1058th,AlexisVipper,1h 41m 27s 015ms,1h 41m 11s 080ms,1.16.2,Normal,F3,Vanilla,3 months ago
1059th,Aquad,1h 41m 48s,1h 41m 48s,1.16.1,Normal,F3,Vanilla,5 months ago
1060th,Jilly_Jack,1h 42m 19s 003ms,1h 42m 19s 003ms,1.16.1,Easy,F3,Vanilla,3 months ago
1061st,ArctoSpica,1h 42m 34s 033ms,1h 42m 26s 030ms,1.16.1,Normal,F3,Vanilla,2 months ago
1062nd,switchpalacecorner,1h 42m 46s 066ms,1h 42m 44s 065ms,1.16.1,Easy,F3,Vanilla,2 months ago
1063rd,khaled107,1h 43m 11s 270ms,1h 43m 11s 270ms,1.16.4,Normal,F3,Vanilla,1 month ago
1064th,EdHeadSR,1h 46m 59s 560ms,1h 43m 43s 450ms,1.16.1,Easy,F3,Vanilla,3 months ago
1065th,BigBearGDD,1h 43m 52s 450ms,1h 43m 52s 450ms,1.16.1,Easy,F3,Vanilla,1 month ago
1066th,talmanau,1h 44m 11s,1h 44m 05s,1.16.1,Normal,No F3,JellySquid,4 months ago
1067th,astronoughtt,1h 44m 09s 076ms,1h 44m 08s 075ms,1.16.1,Easy,No F3,Vanilla,2 months ago
1068th,Bobuxo,1h 44m 15s 018ms,1h 44m 15s 018ms,1.16.3,Easy,,Vanilla,2 months ago
1069th,CubicHedgehog_,1h 44m 39s 096ms,1h 44m 39s 096ms,1.16.3,Normal,F3,Vanilla,2 months ago
1070th,Gampis,1h 45m 14s,1h 45m 14s,1.16.3,Easy,F3,Vanilla,2 months ago
1071st,Mycornia,1h 45m 54s 018ms,1h 45m 50s 060ms,1.16.1,Easy,F3,Vanilla,3 months ago
1072nd,So_Disappointed,1h 47m 00s,1h 46m 57s,1.16.4,Easy,F3,Vanilla,2 months ago
1073rd,TheTactician,1h 47m 11s 710ms,1h 47m 11s 710ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
1074th,BucketJon,1h 47m 29s,1h 47m 29s,1.16.4,Easy,,Vanilla,2 weeks ago
1075th,drakesterbacon,1h 47m 30s 049ms,1h 47m 30s,1.16.1,Normal,F3,Vanilla,5 months ago
1076th,Smo0thyy,1h 49m 13s,1h 48m 13s,1.16.1,Hard,F3,Optifine,4 months ago
1077th,winterceleste,1h 48m 14s,1h 48m 14s,1.16.1,Easy,F3,Vanilla,2 months ago
1078th,Pandarhz,1h 49m 23s,1h 49m 39s,1.16.4,Normal,F3,Vanilla,1 month ago
1079th,Verelya,1h 49m 43s,1h 49m 43s,1.16.3,Easy,F3,Vanilla,3 months ago
1080th,MortySmith,1h 50m 06s,1h 50m 06s,1.16.1,Normal,F3,Optifine,4 months ago
1081st,Gambler_Price,1h 56m 32s,1h 50m 24s,1.16.1,Easy,F3,Vanilla,4 weeks ago
1082nd,JoannaPlaysMC,1h 51m 29s,1h 51m 29s,1.16.1,Normal,No F3,Vanilla,4 months ago
1083rd,cratt0,1h 51m 46s,1h 51m 46s,1.16.1,Normal,F3,Vanilla,3 months ago
1084th,rocko7927,1h 52m 05s,1h 52m 05s,1.6.1,Easy,F3,Optifine,2 months ago
1085th,Brandosnacks,1h 52m 11s,1h 52m 11s,1.16.1,Easy,F3,Optifine,4 months ago
1086th,Skyline0179,1h 52m 45s,1h 52m 45s,1.16.1,Easy,,Vanilla,1 month ago
1087th,Not_Weeg,1h 53m 29s,1h 53m 26s,1.16.3,Easy,F3,Vanilla,2 months ago
1088th,2wu,1h 30m 58s 028ms,1h 53m 33s,1.16.3,Easy,F3,JellySquid,2 months ago
1089th,Erickz,1h 53m 39s 073ms,1h 53m 39s 073ms,1.16.1,Normal,F3,Optifine,5 months ago
1090th,Sopeamy,1h 53m 54s 027ms,1h 53m 54s 027ms,1.16.1,Normal,F3,Vanilla,5 months ago
1091st,R1712,1h 54m 17s,1h 53m 59s,1.16.1,Normal,F3,Optifine,5 months ago
1092nd,MrNorm,1h 54m 12s,1h 54m 12s,1.16.1,Normal,F3,Vanilla,6 months ago
1093rd,Mentalys,1h 55m 09s 084ms,1h 55m 09s 084ms,1.16.4,Normal,F3,Vanilla,1 month ago
1094th,jakeplate,1h 55m 15s 830ms,1h 55m 15s 830ms,1.16.1,Normal,F3,Vanilla,2 weeks ago
1095th,neosccv,1h 56m 27s 096ms,1h 55m 32s 500ms,1.16.4,Normal,F3,Vanilla,2 weeks ago
1096th,Wortax15,1h 57m 06s,1h 57m 06s,1.16,Normal,F3,Vanilla,5 months ago
1097th,MuricanDoggo,1h 57m 58s,1h 57m 58s,1.16.1,Normal,F3,Optifine,5 months ago
1098th,gasspy,1h 59m 09s 440ms,1h 59m 09s 440ms,1.16.4,Normal,,Vanilla,1 month ago
1099th,LaykaBoss,2h 00m 00s,1h 59m 56s,1.16.1,Normal,F3,Vanilla,5 months ago
1100th,Cadenzar2,2h 00m 13s,2h 00m 00s,1.16.1,Normal,F3,Vanilla,4 months ago
1101st,AGreninja101,2h 00m 33s 670ms,2h 00m 26s 300ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
1102nd,47noodles,2h 00m 47s 220ms,2h 00m 47s 220ms,1.16.1,Easy,F3,Vanilla,2 months ago
1103rd,VideoGameRobo,2h 04m 28s,2h 01m 28s 036ms,1.16.1,Easy,F3,Vanilla,2 months ago
1104th,C0lumbus,2h 04m 12s,2h 04m 12s,1.16.1,Normal,F3,Vanilla,5 months ago
1105th,zacharys01,2h 06m 35s 019ms,2h 06m 33s 040ms,1.16.3,Easy,F3,Vanilla,2 months ago
1106th,dozkon,2h 07m 07s 062ms,2h 07m 07s 062ms,1.16.3,Easy,F3,Vanilla,3 months ago
1107th,serpal__,2h 09m 11s 310ms,2h 09m 06s 250ms,1.16.1,Normal,F3,Vanilla,5 months ago
1108th,MKRhere,2h 12m 37s 000ms,2h 12m 06s 000ms,1.16.1,Normal,F3,JellySquid,1 week ago
1109th,kidboo377,2h 13m 26s 999ms,2h 13m 29s 999ms,1.16.4,Easy,F3,Vanilla,1 month ago
1110th,gayannabeth,2h 14m 46s,2h 14m 46s,1.16.4,Easy,No F3,Vanilla,1 month ago
1111th,C7jani,2h 18m 28s 062ms,2h 17m 52s 030ms,1.16.3,Easy,F3,Vanilla,2 months ago
1112th,Haphax,2h 20m 09s,2h 18m 13s 066ms,1.16.4,Normal,No F3,Vanilla,1 month ago
1113th,DatKaktuz,2h 20m 19s,2h 19m 51s,1.16.2,Easy,F3,Vanilla,2 months ago
1114th,cinika1YT,2h 24m 51s,2h 24m 51s,1.16.1,Normal,No F3,Vanilla,4 months ago
1115th,archer346,2h 31m 09s,2h 31m 09s,1.16.1,Easy,F3,Vanilla,5 months ago
1116th,Mikulus,2h 37m 36s 470ms,2h 37m 36s 470ms,1.16.4,Easy,F3,Vanilla,1 month ago
1117th,Crypt1c587,2h 44m 12s,2h 43m 00s,1.16.3,Easy,F3,Vanilla,2 months ago
1118th,Skessy,2h 48m 19s 068ms,2h 48m 19s 068ms,1.16.3,Normal,F3,Vanilla,2 months ago
1119th,somerandomguy1181,2h 58m 51s,2h 58m 51s,1.16.1,Hardcore,F3,Vanilla,6 months ago
1120th,maud_bellemans,3h 10m 20s,3h 01m 20s,1.16.1,Easy,F3,Vanilla,2 months ago
1121st,mooo0o,3h 07m 45s,3h 07m 45s,1.16.1,Easy,F3,Vanilla,1 week ago
1122nd,StupidLegoPirate,3h 56m 00s 880ms,3h 54m 19s 480ms,1.16.4,Normal,F3,Vanilla,1 month ago
1123rd,Mumu_Didi,5h 22m 00s,5h 22m 00s,1.16.1,Normal,F3,JellySquid,5 months ago
1124th,ProfessorBiggy,6h 15m 31s,6h 14m 24s 023ms,1.16.2,Normal,F3,Vanilla,4 months ago
1125th,Ristain,10h 24m 51s 018ms,10h 22m 14s,1.16.3,Normal,F3,Vanilla,2 months ago
1126th,Myles_Away,21h 11m 48s 030ms,21h 12m 00s,1.16.1,Normal,F3,Vanilla,1 month ago
1127th,ironorr67,2h 21m 14s 004ms,,1.16.4,Normal,,Vanilla,1 month ago
